id,team
0,Norwich-City
1,Chelsea
2,Chelsea
3,Bournemouth
4,Southampton
5,Everton
6,Aston-Villa
7,Leicester-City
8,Wolverhampton-Wanderers
9,Manchester-City
10,Burnley
11,Aston-Villa
12,West-Ham-United
13,Bournemouth
14,Liverpool
15,Leicester-City
16,Tottenham-Hotspur
17,Manchester-City
18,Liverpool
19,Burnley
20,Newcastle-United
21,Chelsea
22,Brighton-and-Hove-Albion
23,Leicester-City
24,Everton
25,West-Ham-United
26,Wolverhampton-Wanderers
27,Wolverhampton-Wanderers
28,Arsenal
29,Bournemouth
30,Crystal-Palace
31,Southampton
32,Manchester-United
33,Arsenal
34,Manchester-City
35,Brighton-and-Hove-Albion
36,Aston-Villa
37,Watford
38,Manchester-City
39,Watford
40,Burnley
41,Tottenham-Hotspur
42,Tottenham-Hotspur
43,Chelsea
44,Brighton-and-Hove-Albion
45,Everton
46,Manchester-United
47,Manchester-City
48,Chelsea
49,West-Ham-United
50,Aston-Villa
51,Brighton-and-Hove-Albion
52,Southampton
53,West-Ham-United
54,Bournemouth
55,Newcastle-United
56,Arsenal
57,Tottenham-Hotspur
58,Crystal-Palace
59,Leicester-City
60,Chelsea
61,Newcastle-United
62,Manchester-United
63,Everton
64,Chelsea
65,Chelsea
66,West-Ham-United
67,Sheffield-United
68,Brighton-and-Hove-Albion
69,Everton
70,Brighton-and-Hove-Albion
71,Burnley
72,Chelsea
73,Burnley
74,Sheffield-United
75,Chelsea
76,Wolverhampton-Wanderers
77,Liverpool
78,Southampton
79,Arsenal
80,Leicester-City
81,Leicester-City
82,Wolverhampton-Wanderers
83,Wolverhampton-Wanderers
84,Burnley
85,Crystal-Palace
86,Manchester-City
87,Everton
88,Brighton-and-Hove-Albion
89,Manchester-City
90,Southampton
91,Sheffield-United
92,Bournemouth
93,Brighton-and-Hove-Albion
94,Manchester-United
95,Arsenal
96,Everton
97,Wolverhampton-Wanderers
98,Brighton-and-Hove-Albion
99,Southampton
100,Tottenham-Hotspur
101,Liverpool
102,Seattle-Sounders-FC
103,Burnley
104,Aston-Villa
105,Liverpool
106,Watford
107,Bournemouth
108,Brighton-and-Hove-Albion
109,Sheffield-United
110,Norwich-City
111,Brighton-and-Hove-Albion
112,Arsenal
113,Bournemouth
114,Norwich-City
115,Bournemouth
116,Everton
117,Crystal-Palace
118,Wolverhampton-Wanderers
119,Norwich-City
120,Watford
121,West-Ham-United
122,Southampton
123,Aston-Villa
124,Tottenham-Hotspur
125,Newcastle-United
126,Watford
127,Wolverhampton-Wanderers
128,Southampton
129,Arsenal
130,Aston-Villa
131,Leicester-City
132,Liverpool
133,Manchester-United
134,Leicester-City
135,Chelsea
136,Liverpool
137,Aston-Villa
138,Liverpool
139,Southampton
140,Liverpool
141,Watford
142,Liverpool
143,Wolverhampton-Wanderers
144,Brighton-and-Hove-Albion
145,Newcastle-United
146,Everton
147,Brighton-and-Hove-Albion
148,Brighton-and-Hove-Albion
149,Wolverhampton-Wanderers
150,Burnley
151,Sheffield-United
152,West-Ham-United
153,Sheffield-United
154,West-Ham-United
155,Burnley
156,Everton
157,West-Ham-United
158,Wolverhampton-Wanderers
159,Wolverhampton-Wanderers
160,Arsenal
161,Bournemouth
162,Crystal-Palace
163,Southampton
164,Manchester-United
165,Arsenal
166,Manchester-City
167,Brighton-and-Hove-Albion
168,Aston-Villa
169,Watford
170,Manchester-City
171,Watford
172,Burnley
173,Tottenham-Hotspur
174,Everton
175,Tottenham-Hotspur
176,Manchester-City
177,Wolverhampton-Wanderers
178,Watford
179,Leicester-City
180,Newcastle-United
181,West-Ham-United
182,Tottenham-Hotspur
183,Everton
184,Manchester-United
185,Wolverhampton-Wanderers
186,Manchester-City
187,West-Ham-United
188,Liverpool
189,Southampton
190,Bournemouth
191,Wolverhampton-Wanderers
192,Watford
193,Watford
194,Aston-Villa
195,Manchester-City
196,Crystal-Palace
197,Aston-Villa
198,Norwich-City
199,Brighton-and-Hove-Albion
200,Newcastle-United
201,Liverpool
202,Brighton-and-Hove-Albion
203,Arsenal
204,Sheffield-United
205,Aston-Villa
206,Leicester-City
207,Liverpool
208,Aston-Villa
209,Chelsea
210,Aston-Villa
211,Wolverhampton-Wanderers
212,Wolverhampton-Wanderers
213,Manchester-City
214,Tottenham-Hotspur
215,Leicester-City
216,Tottenham-Hotspur
217,Liverpool
218,West-Ham-United
219,West-Ham-United
220,Newcastle-United
221,Manchester-City
222,Leicester-City
223,Southampton
224,Sheffield-United
225,Manchester-City
226,West-Ham-United
227,Manchester-United
228,Watford
229,Tottenham-Hotspur
230,Bournemouth
231,Bournemouth
232,Manchester-United
233,West-Ham-United
234,Leicester-City
235,Southampton
236,Manchester-City
237,Arsenal
238,Liverpool
239,Everton
240,Manchester-United
241,West-Bromwich-Albion
242,Everton
243,Tottenham-Hotspur
244,Leicester-City
245,Wolverhampton-Wanderers
246,Burnley
247,Wolverhampton-Wanderers
248,Chelsea
249,Norwich-City
250,Liverpool
251,West-Ham-United
252,Everton
253,Bournemouth
254,Leicester-City
255,Aston-Villa
256,Aston-Villa
257,Manchester-United
258,Brighton-and-Hove-Albion
259,Liverpool
260,Arsenal
261,Everton
262,Aston-Villa
263,Manchester-City
264,Brighton-and-Hove-Albion
265,Brighton-and-Hove-Albion
266,West-Ham-United
267,West-Ham-United
268,Manchester-United
269,Norwich-City
270,Bournemouth
271,Manchester-City
272,Aston-Villa
273,Newcastle-United
274,Chelsea
275,Norwich-City
276,Wolverhampton-Wanderers
277,Brighton-and-Hove-Albion
278,Burnley
279,Norwich-City
280,Manchester-United
281,Southampton
282,Chelsea
283,Liverpool
